pop,seed,checkpoint,reached,n_new,recall,precision,igd,hv_gap,n_outside_ref,raw_at_checkpoint,cache_hits_at_checkpoint,final_raw,final_cache_hits
50,1,4696,1,4696,0.32006920415224915,0.5854430379746836,2.192950524755534,0.004662012034395897,0,8228,3532,159000,139000
50,1,6168,1,6168,0.35986159169550175,0.5875706214689266,1.9191891963262655,0.003931976121167368,0,12774,6606,159000,139000
50,1,6611,1,6611,0.3685121107266436,0.5883977900552486,1.8918520995120511,0.003897825855484111,0,14440,7829,159000,139000
50,1,10000,1,10000,0.47231833910034604,0.7,1.5503596636102908,0.002397303935715737,0,31524,21524,159000,139000
50,1,15000,1,15000,0.5865051903114187,0.7635135135135135,1.1744532064607256,0.001182493913360489,0,74559,59559,159000,139000
50,1,20000,1,20000,0.7024221453287197,0.812,0.8255447268860785,0.00041663228552331924,0,158991,138991,159000,139000
50,2,4696,1,4696,0.27335640138408307,0.46607669616519176,2.1756913696596554,0.004238180786547714,0,8392,3696,177700,157700
50,2,6168,1,6168,0.32698961937716264,0.5338983050847458,1.9756036043320762,0.0032494249215452215,0,12572,6404,177700,157700
50,2,6611,1,6611,0.35121107266435986,0.5654596100278552,1.8494900126805693,0.003126259114704881,0,14043,7432,177700,157700
50,2,10000,1,10000,0.4411764705882353,0.6439393939393939,1.5607455062876063,0.0024187839775387777,0,30915,20915,177700,157700
50,2,15000,1,15000,0.5882352941176471,0.7555555555555555,1.0728128006914992,0.0014806757372417257,0,77471,62471,177700,157700
50,2,20000,1,20000,0.7283737024221453,0.8453815261044176,0.7052843408897947,0.0008199229187595048,0,177695,157695,177700,157700
50,3,4696,1,4696,0.28546712802768165,0.5061349693251533,2.3351511029392333,0.007463677470706134,0,8554,3858,155400,135398
50,3,6168,1,6168,0.3391003460207612,0.5552407932011332,2.0036321308681666,0.005756929938992095,0,12510,6342,155400,135398
50,3,6611,1,6611,0.356401384083045,0.5674931129476584,1.9154058026523348,0.004075243078489117,0,13915,7304,155400,135398
50,3,10000,1,10000,0.45674740484429066,0.6330935251798561,1.5523378515015935,0.0016752385389472203,0,30398,20398,155400,135398
50,3,15000,1,15000,0.5865051903114187,0.7290322580645161,1.143034624977271,0.0013378252345068765,0,76355,61355,155400,135398
50,3,20000,1,20000,0.7318339100346021,0.8562753036437247,0.6818531959057249,0.0005958415227349258,0,155377,135377,155400,135398
50,4,4696,1,4696,0.30103806228373703,0.49572649572649574,2.1067963429139374,0.0024531755588896894,0,8015,3319,147950,127947
50,4,6168,1,6168,0.3685121107266436,0.5620052770448549,1.7451685077405117,0.0022338816476330167,0,12033,5865,147950,127947
50,4,6611,1,6611,0.3806228373702422,0.5759162303664922,1.687793835888211,0.002219135243495457,0,13425,6814,147950,127947
50,4,10000,1,10000,0.49653979238754326,0.7034313725490197,1.3881534130730737,0.0016204589471935438,0,27815,17815,147950,127947
50,4,15000,1,15000,0.6228373702422145,0.7929515418502202,0.999268714428057,0.000878769724548508,0,67097,52097,147950,127947
50,4,20000,1,20000,0.7352941176470589,0.8551307847082495,0.7195958266220736,0.0005054191256288323,0,147904,127904,147950,127947
50,5,4696,1,4696,0.2837370242214533,0.5290322580645161,2.159760339270464,0.004993554262316065,0,7638,2942,166300,146298
50,5,6168,1,6168,0.328719723183391,0.5523255813953488,1.9127469812997806,0.004559119877270886,0,11870,5702,166300,146298
50,5,6611,1,6611,0.3460207612456747,0.5681818181818182,1.8847675388135012,0.004239199995222626,0,13389,6778,166300,146298
50,5,10000,1,10000,0.43079584775086505,0.5985576923076923,1.4958661666469908,0.0027018529753012515,0,29057,19057,166300,146298
50,5,15000,1,15000,0.5380622837370242,0.6820175438596491,1.1554588406392103,0.0015755816635030508,0,76598,61598,166300,146298
50,5,20000,1,20000,0.6885813148788927,0.7991967871485943,0.8006258966028262,0.0008054668461000275,0,166269,146269,166300,146298
50,6,4696,1,4696,0.3027681660899654,0.5737704918032787,2.2212353037993533,0.003177848482443619,0,7980,3284,186850,166850
50,6,6168,1,6168,0.3494809688581315,0.6029850746268657,1.9712992350163772,0.0027522494202017332,0,12232,6064,186850,166850
50,6,6611,1,6611,0.36505190311418684,0.6205882352941177,1.9523616904489918,0.002702178298752754,0,13512,6901,186850,166850
50,6,10000,1,10000,0.4515570934256055,0.6761658031088082,1.6430772199942294,0.0022581341544455156,0,29353,19353,186850,166850
50,6,15000,1,15000,0.6003460207612457,0.7850678733031674,1.115914069521358,0.0014966808830339854,0,74548,59548,186850,166850
50,6,20000,1,20000,0.7058823529411765,0.8736616702355461,0.8874232759411919,0.0009490796920536134,0,186832,166832,186850,166850
50,7,4696,1,4696,0.2750865051903114,0.5096153846153846,2.223931547839274,0.0065390847936521316,0,8826,4130,170600,150600
50,7,6168,1,6168,0.33217993079584773,0.5680473372781065,2.0202420826426843,0.004109676614013725,0,13668,7500,170600,150600
50,7,6611,1,6611,0.3373702422145329,0.5803571428571429,2.0160605663899123,0.003472286339919766,0,15676,9065,170600,150600
50,7,10000,1,10000,0.4515570934256055,0.6541353383458647,1.6199899235624229,0.0017769627807390877,0,32342,22342,170600,150600
50,7,15000,1,15000,0.5726643598615917,0.7438202247191011,1.1926368974416586,0.001150925079964728,0,74275,59275,170600,150600
50,7,20000,1,20000,0.6868512110726643,0.7908366533864541,0.8429675229342788,0.0008440023901996422,0,170559,150559,170600,150600
50,8,4696,1,4696,0.2906574394463668,0.5233644859813084,2.1841178082761337,0.004846253651572944,0,8790,4094,181700,161699
50,8,6168,1,6168,0.3494809688581315,0.5706214689265536,2.005011899610429,0.0034864893803885576,0,13483,7315,181700,161699
50,8,6611,1,6611,0.36678200692041524,0.5905292479108635,1.94679441925124,0.0033398593266609133,0,15285,8674,181700,161699
50,8,10000,1,10000,0.4602076124567474,0.6519607843137255,1.57138414614436,0.002856990951605336,0,32171,22171,181700,161699
50,8,15000,1,15000,0.5847750865051903,0.7161016949152542,1.1192687583358094,0.00163590719999057,0,79175,64175,181700,161699
50,8,20000,1,20000,0.7110726643598616,0.8138613861386138,0.7483883360372757,0.0007462950558690188,0,181691,161691,181700,161699
50,9,4696,1,4696,0.2958477508650519,0.5377358490566038,2.2472873859414224,0.004752712597934472,0,7789,3093,168050,148049
