tag,pop,checkpoint,n_seeds_total,n_reached,eligible_for_envelope,recall_median,recall_q1,recall_q3,recall_min,recall_max,precision_median,precision_q1,precision_q3,precision_min,precision_max,igd_median,igd_q1,igd_q3,igd_min,igd_max,hv_gap_median,hv_gap_q1,hv_gap_q3,hv_gap_min,hv_gap_max,raw_at_cp_median
rand,20,6168,30,30,1,0.258651,0.251298,0.269464,0.237024,0.290657,0.464281,0.450314,0.476481,0.41018,0.518033,2.424337,2.324405,2.532705,2.10727,2.632816,0.005692,0.005418,0.006514,0.003252,0.007442,31600
rand,20,6611,30,30,1,0.266436,0.262976,0.279844,0.250865,0.304498,0.466972,0.453058,0.486646,0.417827,0.525316,2.368832,2.267505,2.459611,2.043166,2.518488,0.005578,0.005148,0.006085,0.002708,0.007001,37574
rand,20,10000,30,30,1,0.359862,0.347751,0.371107,0.32526,0.387543,0.540041,0.514152,0.555206,0.477157,0.587927,1.883055,1.84879,1.963022,1.746208,2.062169,0.003439,0.003115,0.003978,0.002238,0.00504,108420
rand,20,15000,30,20,0,0.484429,0.470156,0.491349,0.453287,0.49654,0.639016,0.619344,0.65144,0.586667,0.672941,1.410959,1.397596,1.462066,1.343555,1.640215,0.00202,0.001484,0.002158,0.001214,0.002413,363316
rand,20,20000,30,0,0,,,,,,,,,,,,,,,,,,,,,
rand,50,4696,30,30,1,0.289792,0.276384,0.301038,0.243945,0.323529,0.512825,0.493401,0.533948,0.41349,0.609428,2.224061,2.18419,2.316527,2.062208,2.494484,0.004882,0.004289,0.005755,0.002453,0.008694,8243
rand,50,6168,30,30,1,0.333045,0.32872,0.352076,0.288927,0.368512,0.558123,0.534452,0.569978,0.462604,0.62614,2.000151,1.935101,2.041118,1.745169,2.196199,0.003995,0.003314,0.004561,0.002234,0.006008,12770
rand,50,6611,30,30,1,0.350346,0.340398,0.366782,0.307958,0.384083,0.572027,0.547411,0.587248,0.482385,0.627907,1.945712,1.873609,2.012575,1.687794,2.11899,0.003543,0.00313,0.004198,0.002219,0.005342,14281
rand,50,10000,30,30,1,0.451557,0.439446,0.464965,0.411765,0.49654,0.640382,0.631087,0.665453,0.58945,0.703431,1.556542,1.518472,1.603135,1.388153,1.67328,0.002147,0.001902,0.002513,0.001039,0.003291,30492
rand,50,15000,30,30,1,0.586505,0.573529,0.595156,0.538062,0.622837,0.73921,0.718259,0.755922,0.675105,0.792952,1.131829,1.100233,1.158655,0.999269,1.257806,0.001201,0.001093,0.001345,0.000638,0.001654,73583
rand,50,20000,30,30,1,0.710208,0.696367,0.721021,0.686851,0.735294,0.818953,0.802582,0.839005,0.788119,0.873662,0.795294,0.74137,0.832436,0.679048,0.887423,0.000609,0.000537,0.000763,0.000417,0.000999,165884
rand,100,4696,30,30,1,0.32526,0.304066,0.336938,0.278547,0.371972,0.552259,0.521506,0.580971,0.486405,0.639881,2.038472,1.985021,2.091921,1.933087,2.380055,0.004612,0.004221,0.00507,0.002298,0.006824,6841
rand,100,6168,30,30,1,0.384083,0.374135,0.403114,0.346021,0.430796,0.603852,0.590596,0.630196,0.546196,0.68144,1.75832,1.721111,1.828906,1.617455,2.087482,0.003531,0.002833,0.003949,0.001734,0.005559,10066
rand,100,6611,30,30,1,0.403979,0.390138,0.421713,0.361592,0.449827,0.624475,0.593146,0.639707,0.56117,0.682667,1.692706,1.644091,1.738851,1.553116,1.986424,0.003139,0.002601,0.003694,0.00114,0.00535,11214
rand,100,10000,30,30,1,0.520761,0.509083,0.53936,0.487889,0.579585,0.707825,0.682568,0.733914,0.661327,0.765808,1.279929,1.23217,1.341561,1.075124,1.461303,0.001929,0.001478,0.002125,0.000669,0.002942,21855
rand,100,15000,30,30,1,0.66955,0.659602,0.681661,0.645329,0.724913,0.803572,0.788384,0.814005,0.741748,0.858607,0.861696,0.831489,0.904837,0.683345,0.945427,0.000796,0.000553,0.001156,0.000282,0.001542,47919
rand,100,20000,30,30,1,0.794118,0.780277,0.805796,0.747405,0.83045,0.87418,0.863007,0.886143,0.835185,0.914286,0.536412,0.5079,0.566216,0.378394,0.627147,0.000261,0.000194,0.00034,0.000101,0.000751,95395
rand,200,4696,30,30,1,0.353806,0.338235,0.369377,0.313149,0.403114,0.599715,0.579215,0.628668,0.519337,0.701807,1.99321,1.925949,2.054798,1.783398,2.202965,0.004691,0.003887,0.005233,0.002142,0.009231,5796
rand,200,6168,30,30,1,0.438581,0.42301,0.453287,0.397924,0.491349,0.663954,0.649718,0.680079,0.582278,0.765193,1.626625,1.571246,1.683363,1.472586,1.765287,0.003423,0.002797,0.00387,0.00162,0.005306,8345
rand,200,6611,30,30,1,0.459343,0.448529,0.474481,0.420415,0.515571,0.68005,0.662412,0.695533,0.600985,0.794038,1.538866,1.503144,1.575388,1.371986,1.650997,0.003232,0.002391,0.003711,0.001204,0.005234,9204
rand,200,10000,30,30,1,0.604671,0.591696,0.621972,0.562284,0.650519,0.777586,0.759649,0.803581,0.716157,0.87239,1.04426,0.997016,1.084495,0.93595,1.136898,0.001667,0.001222,0.002121,0.000727,0.003091,17096
rand,200,15000,30,30,1,0.749135,0.735294,0.762111,0.711073,0.792388,0.870321,0.854545,0.882973,0.803502,0.938525,0.617321,0.576069,0.661988,0.497648,0.750578,0.000618,0.000514,0.000807,0.0002,0.00169,34687
rand,200,20000,30,30,1,0.858131,0.847751,0.866782,0.83045,0.899654,0.928369,0.919072,0.936789,0.877514,0.975518,0.342769,0.316781,0.373252,0.214152,0.433048,0.000199,0.000139,0.000395,6.4e-05,0.001028,64940
rand,600,4696,30,30,1,0.273356,0.268166,0.290657,0.242215,0.321799,0.516502,0.503657,0.532258,0.436137,0.583072,2.322629,2.210348,2.425117,2.005978,2.573264,0.006371,0.004701,0.007427,0.003535,0.011547,5024
rand,600,6168,30,30,1,0.382353,0.368945,0.394464,0.351211,0.411765,0.614901,0.588358,0.632753,0.552,0.666667,1.880609,1.783021,1.951263,1.536746,2.176921,0.003321,0.002807,0.00496,0.001767,0.007233,6956
rand,600,6611,30,30,1,0.4109,0.398789,0.426903,0.384083,0.441176,0.642494,0.612828,0.654921,0.579897,0.684932,1.747982,1.675207,1.833646,1.463297,1.985093,0.002894,0.002356,0.004114,0.001716,0.006423,7583
rand,600,10000,30,30,1,0.591696,0.584775,0.602941,0.576125,0.624567,0.767577,0.758674,0.783587,0.736842,0.826087,1.088396,1.039254,1.125556,0.960629,1.214352,0.001448,0.001191,0.001966,0.000595,0.003099,13326
rand,600,15000,30,30,1,0.799308,0.7859,0.814446,0.768166,0.82699,0.898663,0.892343,0.91919,0.871094,0.948207,0.496468,0.45572,0.525355,0.410328,0.645336,0.000513,0.000357,0.000729,0.000179,0.001156,25460
rand,600,20000,30,30,1,0.927336,0.91955,0.930796,0.897924,0.942907,0.9713,0.964562,0.976555,0.954463,0.987179,0.176949,0.159057,0.209375,0.134319,0.29815,0.000103,6.5e-05,0.000189,2.5e-05,0.000611,44955
