pop,seed,checkpoint,reached,n_new,recall,precision,igd,hv_gap,n_outside_ref,raw_at_checkpoint,cache_hits_at_checkpoint,final_raw,final_cache_hits
50,1,4696,1,4696,0.3027681660899654,0.5384615384615384,2.3311721311983433,0.004294477278247091,0,8208,3512,180850,160849
50,1,6168,1,6168,0.3494809688581315,0.5722379603399433,2.0462297566505683,0.00391740564036429,0,12381,6213,180850,160849
50,1,6611,1,6611,0.35813148788927335,0.5782122905027933,1.9731407972657173,0.003695983743803392,0,13801,7190,180850,160849
50,1,10000,1,10000,0.4429065743944637,0.6320987654320988,1.6126959721692433,0.0020610246671541044,0,29593,19593,180850,160849
50,1,15000,1,15000,0.5622837370242214,0.7403189066059226,1.1640477424169464,0.0009608312567880027,0,71088,56088,180850,160849
50,1,20000,1,20000,0.7058823529411765,0.8275862068965517,0.7927288864163003,0.0004613436567187405,0,180812,160812,180850,160849
50,2,4696,1,4696,0.29238754325259514,0.5767918088737202,2.585812176918889,0.005258972118438436,0,8491,3795,180350,160349
50,2,6168,1,6168,0.3373702422145329,0.6,2.146443721184371,0.004626518023572156,0,13247,7079,180350,160349
50,2,6611,1,6611,0.35121107266435986,0.634375,2.122984868547769,0.00403115659699995,0,14842,8231,180350,160349
50,2,10000,1,10000,0.458477508650519,0.6973684210526315,1.7562632918476737,0.0022337049349722767,0,33935,23935,180350,160349
50,2,15000,1,15000,0.596885813148789,0.7666666666666667,1.245084278193372,0.0008291269385241785,0,75368,60368,180350,160349
50,2,20000,1,20000,0.7006920415224913,0.826530612244898,0.8400072464548941,0.00048158329468099006,0,180335,160335,180350,160349
50,3,4696,1,4696,0.3096885813148789,0.5700636942675159,2.0722839656275687,0.004366178133795595,0,7557,2861,149350,129350
50,3,6168,1,6168,0.370242214532872,0.6167146974063401,1.7897465993270516,0.0029358403945436836,0,11548,5380,149350,129350
50,3,6611,1,6611,0.38408304498269896,0.6065573770491803,1.6535638564870199,0.002884582583423103,0,12873,6262,149350,129350
50,3,10000,1,10000,0.4844290657439446,0.6796116504854369,1.343375667602576,0.001987467665931044,0,25636,15636,149350,129350
50,3,15000,1,15000,0.5951557093425606,0.7381974248927039,1.0794910906343191,0.0011664301177071177,0,62484,47484,149350,129350
50,3,20000,1,20000,0.7093425605536332,0.8134920634920635,0.7387948541372763,0.0004875745172027261,0,149332,129332,149350,129350
50,4,4696,1,4696,0.28027681660899656,0.5031055900621118,2.203296358643348,0.004816809043894776,0,8794,4098,197250,177248
50,4,6168,1,6168,0.356401384083045,0.569060773480663,1.8128772138174265,0.0025731247779369653,0,12627,6459,197250,177248
50,4,6611,1,6611,0.3737024221453287,0.5806451612903226,1.7205135004549963,0.0025533963808555714,0,14169,7558,197250,177248
50,4,10000,1,10000,0.4602076124567474,0.642512077294686,1.5185979636637457,0.0016208355832912002,0,30016,20016,197250,177248
50,4,15000,1,15000,0.5536332179930796,0.7032967032967034,1.2243964806688816,0.0010713327433849406,0,82777,67777,197250,177248
50,4,20000,1,20000,0.7024221453287197,0.7883495145631068,0.7685422628564876,0.0005087797328254471,0,197236,177236,197250,177248
50,5,4696,1,4696,0.29238754325259514,0.5331230283911672,2.353613686838833,0.004317320953716245,0,8299,3603,156800,136800
50,5,6168,1,6168,0.35121107266435986,0.5783475783475783,2.0479917947353417,0.0034575564927985256,0,12457,6289,156800,136800
50,5,6611,1,6611,0.370242214532872,0.601123595505618,1.9768743155221353,0.0034277142850528365,0,14096,7485,156800,136800
50,5,10000,1,10000,0.4463667820069204,0.6339066339066339,1.6532418985138622,0.00198297518647916,0,29471,19471,156800,136800
50,5,15000,1,15000,0.583044982698962,0.7488888888888889,1.244553842029122,0.0009519154021307442,0,73262,58262,156800,136800
50,5,20000,1,20000,0.6937716262975778,0.8336798336798337,0.8319837704243193,0.000679684171848853,0,156776,136776,156800,136800
50,6,4696,1,4696,0.3062283737024221,0.580327868852459,2.3201968157665926,0.005157873250364213,0,8839,4143,162500,142497
50,6,6168,1,6168,0.3737024221453287,0.6153846153846154,1.9108806874320234,0.004362149362562477,0,12981,6813,162500,142497
50,6,6611,1,6611,0.3788927335640138,0.6134453781512605,1.8881764336609534,0.0037989387902766254,0,14778,8167,162500,142497
50,6,10000,1,10000,0.45501730103806226,0.650990099009901,1.5681026644294938,0.0021343773268818708,0,32527,22527,162500,142497
50,6,15000,1,15000,0.5986159169550173,0.7654867256637168,1.1053500465548978,0.001048605691349902,0,76284,61284,162500,142497
50,6,20000,1,20000,0.7283737024221453,0.8522267206477733,0.7533453546177633,0.0004897272505477323,0,162451,142451,162500,142497
50,7,4696,1,4696,0.27335640138408307,0.512987012987013,2.3819353960846192,0.006288545369686116,0,8360,3664,150150,130150
50,7,6168,1,6168,0.3166089965397924,0.5579268292682927,2.238087962822506,0.00446519390590646,0,12832,6664,150150,130150
50,7,6611,1,6611,0.3235294117647059,0.55,2.181192560016176,0.004446242376457801,0,14593,7982,150150,130150
50,7,10000,1,10000,0.4117647058823529,0.5935162094763092,1.713542222157152,0.0022582526382524597,0,31803,21803,150150,130150
50,7,15000,1,15000,0.5726643598615917,0.7274725274725274,1.275467028768216,0.0009734167639799239,0,68234,53234,150150,130150
50,7,20000,1,20000,0.7076124567474048,0.8313008130081301,0.8467690152085234,0.0005256360407421821,0,150143,130143,150150,130150
50,8,4696,1,4696,0.27162629757785467,0.5032051282051282,2.350427143061106,0.0077564337394134845,0,8156,3460,190200,170200
50,8,6168,1,6168,0.3217993079584775,0.5166666666666667,1.9474569455194177,0.005637691666277144,0,12805,6637,190200,170200
50,8,6611,1,6611,0.32698961937716264,0.5149863760217984,1.8927812643244994,0.0056308703316009625,0,14711,8100,190200,170200
50,8,10000,1,10000,0.44982698961937717,0.6435643564356436,1.6368373807606467,0.0025113144405868827,0,29045,19045,190200,170200
50,8,15000,1,15000,0.5657439446366782,0.7266666666666667,1.2048194192486337,0.0012388762953395944,0,82638,67638,190200,170200
50,8,20000,1,20000,0.7058823529411765,0.8225806451612904,0.7479300144905731,0.000988179088373855,0,190194,170194,190200,170200
50,9,4696,1,4696,0.29930795847750863,0.5527156549520766,2.293361588034849,0.004114099919455679,0,8051,3355,174000,154000
50,9,6168,1,6168,0.3408304498269896,0.5777126099706745,2.0151448072978395,0.0033685747366462245,0,12491,6323,174000,154000
50,9,6611,1,6611,0.356401384083045,0.5919540229885057,1.9595674889057995,0.003353987029159878,0,14522,7911,174000,154000
50,9,10000,1,10000,0.45501730103806226,0.6461916461916462,1.5229976114924433,0.0019838334411452175,0,31890,21890,174000,154000
50,9,15000,1,15000,0.6020761245674741,0.7516198704103672,1.0658121246521943,0.0013621456019042779,0,77302,62302,174000,154000
50,9,20000,1,20000,0.71280276816609,0.8094302554027505,0.7540615603798048,0.0006664641385047806,0,173984,153984,174000,154000
50,10,4696,1,4696,0.24740484429065743,0.44,2.12419783960513,0.006614785966337829,0,8547,3851,162250,142250
50,10,6168,1,6168,0.2958477508650519,0.501466275659824,2.016887681987559,0.005501373506570055,0,13397,7229,162250,142250
50,10,6611,1,6611,0.3079584775086505,0.4972067039106145,1.9520463372085608,0.005401486422364707,0,15001,8390,162250,142250
50,10,10000,1,10000,0.44982698961937717,0.6419753086419753,1.5491777644646882,0.002671185185789413,0,30251,20251,162250,142250
50,10,15000,1,15000,0.5605536332179931,0.6893617021276596,1.1369240937001721,0.0013204568782898378,0,71880,56880,162250,142250
50,10,20000,1,20000,0.7093425605536332,0.8401639344262295,0.8050499103540321,0.0004952651031874303,0,162240,142240,162250,142250
50,11,4696,1,4696,0.25259515570934254,0.44648318042813456,2.232298763365535,0.01037069740575892,0,8512,3816,199300,179299
50,11,6168,1,6168,0.2975778546712803,0.4777777777777778,1.9143439209946151,0.005398250210639249,0,13732,7564,199300,179299
50,11,6611,1,6611,0.31141868512110726,0.47493403693931396,1.8349369558217468,0.0051895425897468235,0,15651,9040,199300,179299
50,11,10000,1,10000,0.4083044982698962,0.5566037735849056,1.5157103711353848,0.003760583598199691,0,33199,23199,199300,179299
50,11,15000,1,15000,0.5415224913494809,0.6864035087719298,1.2582875867352707,0.0014000571410327446,0,79646,64646,199300,179299
50,11,20000,1,20000,0.6782006920415224,0.7686274509803922,0.8039292034729688,0.0007586916024595345,0,199284,179284,199300,179299
50,12,4696,1,4696,0.3217993079584775,0.5705521472392638,2.0808670156395794,0.00435127601156932,0,8117,3421,167400,147391
50,12,6168,1,6168,0.35294117647058826,0.5862068965517241,1.8621808666761845,0.00373567895350002,0,12653,6485,167400,147391
50,12,6611,1,6611,0.370242214532872,0.6131805157593123,1.7769709530855007,0.003459343933180755,0,14422,7811,167400,147391
50,12,10000,1,10000,0.47923875432525953,0.6925,1.468255183590503,0.002105521273228279,0,28394,18394,167400,147391
50,12,15000,1,15000,0.6055363321799307,0.7510729613733905,1.0788627686339387,0.0013162908715567492,0,67342,52342,167400,147391
50,12,20000,1,20000,0.7110726643598616,0.8170974155069582,0.7583626828455474,0.0008235953037749414,0,167361,147361,167400,147391
50,13,4696,1,4696,0.28546712802768165,0.5238095238095238,2.1344097690929362,0.007327643955179383,0,7892,3196,168300,148300
50,13,6168,1,6168,0.328719723183391,0.5539358600583091,1.9302336510222677,0.0068602015122915085,0,12491,6323,168300,148300
50,13,6611,1,6611,0.35294117647058826,0.5604395604395604,1.8512551487403555,0.0068012473024990925,0,13679,7068,168300,148300
50,13,10000,1,10000,0.444636678200692,0.6299019607843137,1.5070343814778644,0.0021757923520164405,0,28854,18854,168300,148300
50,13,15000,1,15000,0.5692041522491349,0.7121212121212122,1.1300911519976706,0.001049016748026486,0,72844,57844,168300,148300
50,13,20000,1,20000,0.6782006920415224,0.8016359918200409,0.8241527756469265,0.0006369587131643816,0,168296,148296,168300,148300
50,14,4696,1,4696,0.30103806228373703,0.5117647058823529,2.165247013000453,0.004676016661774536,0,8570,3874,154650,134650
50,14,6168,1,6168,0.3304498269896194,0.5410764872521246,1.9990357315898977,0.004237995105315939,0,13511,7343,154650,134650
