pop,seed,checkpoint,reached,n_new,recall,precision,igd,hv_gap,n_outside_ref,raw_at_checkpoint,cache_hits_at_checkpoint,final_raw,final_cache_hits
20,1,4696,1,4696,0.22664359861591696,0.4337748344370861,2.648346565600769,0.006581155483485306,0,15139,10443,400000,384299
20,1,6168,1,6168,0.27854671280276816,0.48348348348348347,2.4804143215606955,0.004521688845336134,0,31612,25444,400000,384299
20,1,6611,1,6611,0.28546712802768165,0.4881656804733728,2.459931115375125,0.004461356137223346,0,37437,30826,400000,384299
20,1,10000,1,10000,0.3875432525951557,0.5879265091863517,1.885373533981893,0.0032315778138240466,0,105065,95065,400000,384299
20,1,15000,1,15000,0.4913494809688581,0.6558891454965358,1.4001133970811999,0.0016896010083542092,0,341550,326550,400000,384299
20,1,20000,0,15701,,,,,,,,400000,384299
20,2,4696,1,4696,0.21107266435986158,0.4135593220338983,2.5554277028599177,0.007237109471210454,0,13699,9003,400000,384814
20,2,6168,1,6168,0.2560553633217993,0.4539877300613497,2.3460790910439755,0.005405922417673699,0,28534,22366,400000,384814
20,2,6611,1,6611,0.27162629757785467,0.47005988023952094,2.3090098087464273,0.005049499762398172,0,33790,27179,400000,384814
20,2,10000,1,10000,0.3477508650519031,0.5234375,1.871138464855384,0.00395339107472134,0,93953,83953,400000,384814
20,2,15000,1,15000,0.4740484429065744,0.6213151927437641,1.4505337330107717,0.0018159812590383317,0,388247,373247,400000,384814
20,2,20000,0,15186,,,,,,,,400000,384814
20,3,4696,1,4696,0.21453287197231835,0.4232081911262799,2.809980826583504,0.007831727728016257,0,19190,14494,400000,383622
20,3,6168,1,6168,0.25951557093425603,0.43859649122807015,2.347188409057843,0.006267760277875937,0,32702,26534,400000,383622
20,3,6611,1,6611,0.27162629757785467,0.4498567335243553,2.2725673525605834,0.005759884140064215,0,39489,32878,400000,383622
20,3,10000,1,10000,0.35986159169550175,0.5517241379310345,1.9373706077876747,0.0032616536619659692,0,105376,95376,400000,383622
20,3,15000,1,15000,0.49480968858131485,0.6383928571428571,1.3801415855691535,0.0012387418746944386,0,298990,283990,400000,383622
20,3,20000,0,16378,,,,,,,,400000,383622
20,4,4696,1,4696,0.21626297577854672,0.42662116040955633,2.90524907250104,0.008307939907901957,0,21425,16729,400000,384560
20,4,6168,1,6168,0.2560553633217993,0.43529411764705883,2.408735186597493,0.0065483823853083765,0,36328,30160,400000,384560
20,4,6611,1,6611,0.2647058823529412,0.4358974358974359,2.324195128426931,0.006113688217798001,0,42779,36168,400000,384560
20,4,10000,1,10000,0.35813148788927335,0.5267175572519084,1.8789211429291885,0.003760951534500232,0,110430,100430,400000,384560
20,4,15000,1,15000,0.47231833910034604,0.6176470588235294,1.390042928226244,0.001495711340724668,0,374091,359091,400000,384560
20,4,20000,0,15440,,,,,,,,400000,384560
20,5,4696,1,4696,0.2041522491349481,0.39464882943143814,2.6905629028194986,0.009013399464785228,0,16003,11307,400000,385090
20,5,6168,1,6168,0.24740484429065743,0.41812865497076024,2.3171802018864223,0.006637645871838741,0,27910,21742,400000,385090
20,5,6611,1,6611,0.26124567474048443,0.4253521126760563,2.1936425518273994,0.005999754691380703,0,32288,25677,400000,385090
20,5,10000,1,10000,0.3477508650519031,0.4902439024390244,1.8979617056185418,0.0030690869164087045,0,101399,91399,400000,385090
20,5,15000,0,14910,,,,,,,,400000,385090
20,5,20000,0,14910,,,,,,,,400000,385090
20,6,4696,1,4696,0.2422145328719723,0.45307443365695793,2.4220373628592164,0.003379092152586536,1,11093,6397,400000,384217
20,6,6168,1,6168,0.2664359861591695,0.463855421686747,2.2939424462912097,0.0032518000372304423,0,22411,16243,400000,384217
20,6,6611,1,6611,0.2837370242214533,0.4880952380952381,2.225341188355485,0.002708234738332164,0,25556,18945,400000,384217
20,6,10000,1,10000,0.3788927335640138,0.5572519083969466,1.820836299144903,0.002237557771362493,0,85497,75497,400000,384217
20,6,15000,1,15000,0.48788927335640137,0.6588785046728972,1.4772216633537212,0.0014496512462420683,0,328534,313534,400000,384217
20,6,20000,0,15783,,,,,,,,400000,384217
20,7,4696,1,4696,0.2370242214532872,0.4308176100628931,2.445407914035916,0.006297395111828298,0,15755,11059,400000,384861
