pop,seed,checkpoint,reached,n_new,recall,precision,igd,hv_gap,n_outside_ref,raw_at_checkpoint,cache_hits_at_checkpoint,final_raw,final_cache_hits
200,1,4696,1,4696,0.3546712802768166,0.590778097982709,2.015594880379197,0.0037789352634665678,0,5744,1048,65000,44999
200,1,6168,1,6168,0.4290657439446367,0.6526315789473685,1.7055558757585665,0.002307671185054692,0,8239,2071,65000,44999
200,1,6611,1,6611,0.45674740484429066,0.6804123711340206,1.5615963603096568,0.002199011945322752,0,9059,2448,65000,44999
200,1,10000,1,10000,0.6245674740484429,0.8040089086859689,1.026448231042275,0.0011949663990381307,0,16549,6549,65000,44999
200,1,15000,1,15000,0.7525951557093425,0.8752515090543259,0.5811039946151213,0.0005568148595075929,0,33735,18735,65000,44999
200,1,20000,1,20000,0.8667820069204152,0.9417293233082706,0.31159760739497094,0.0001636737997590538,0,64987,44987,65000,44999
200,2,4696,1,4696,0.35813148788927335,0.5948275862068966,1.925720156321769,0.009230787904642894,0,5780,1084,64000,43990
200,2,6168,1,6168,0.4602076124567474,0.6600496277915633,1.500406361772838,0.004575449674462109,0,8288,2120,64000,43990
200,2,6611,1,6611,0.4826989619377163,0.6642857142857143,1.4101405379575793,0.0025904688267187623,0,9101,2490,64000,43990
200,2,10000,1,10000,0.6228373702422145,0.7758620689655172,1.0073377722910515,0.0017953861783684781,0,17146,7146,64000,43990
200,2,15000,1,15000,0.7854671280276817,0.8764478764478765,0.5353118104107081,0.00031969596101629773,0,34216,19216,64000,43990
200,2,20000,1,20000,0.8996539792387543,0.9471766848816029,0.2141521908280294,9.441666702029479e-05,0,63918,43918,64000,43990
200,3,4696,1,4696,0.3737024221453287,0.6878980891719745,2.1067570201764054,0.004752168712891003,0,5882,1186,70600,50594
200,3,6168,1,6168,0.47923875432525953,0.7651933701657458,1.6220035661724554,0.003624000397453114,0,8422,2254,70600,50594
200,3,6611,1,6611,0.5069204152249135,0.7940379403794038,1.550276747670424,0.003550419966450739,0,9213,2602,70600,50594
200,3,10000,1,10000,0.6332179930795848,0.8356164383561644,1.0212209253992035,0.002806447536076025,0,16994,6994,70600,50594
200,3,15000,1,15000,0.7750865051903114,0.9105691056910569,0.5995061995324718,0.0005130524593419249,0,35493,20493,70600,50594
200,3,20000,1,20000,0.8615916955017301,0.9467680608365019,0.33906850381970727,0.00019341485507664717,0,70546,50546,70600,50594
200,4,4696,1,4696,0.35121107266435986,0.5988200589970502,2.0586561444019096,0.004890770494233501,0,5758,1062,67199,47194
200,4,6168,1,6168,0.43944636678200694,0.675531914893617,1.600730127578384,0.003228341593715568,0,8324,2156,67199,47194
200,4,6611,1,6611,0.458477508650519,0.6883116883116883,1.5089565722095217,0.0030259122791458097,0,9188,2577,67199,47194
200,4,10000,1,10000,0.6262975778546713,0.7973568281938326,0.9832149594907931,0.0017181738175236212,0,17325,7325,67199,47194
200,4,15000,1,15000,0.759515570934256,0.8922764227642277,0.6040265568128608,0.0004004543912525735,0,36121,21121,67199,47194
200,4,20000,1,20000,0.8529411764705882,0.9426386233269598,0.34661724527237087,0.00020293062996403578,0,67160,47160,67199,47194
200,5,4696,1,4696,0.3477508650519031,0.5374331550802139,1.78339798379379,0.005679966380849989,0,5707,1011,66000,45996
200,5,6168,1,6168,0.4117647058823529,0.5862068965517241,1.4898291891972384,0.0042128291332803975,0,8100,1932,66000,45996
200,5,6611,1,6611,0.4429065743944637,0.6259168704156479,1.430002072779428,0.0041530315788090005,0,8914,2303,66000,45996
200,5,10000,1,10000,0.5743944636678201,0.7170626349892009,1.0235741464041521,0.0017066320003253947,0,16447,6447,66000,45996
200,5,15000,1,15000,0.7145328719723183,0.8035019455252919,0.69215907623174,0.0008843991493013045,0,33901,18901,66000,45996
200,5,20000,1,20000,0.8304498269896193,0.8775137111517367,0.38887427236632593,0.00013754994030029728,0,65965,45965,66000,45996
200,6,4696,1,4696,0.3408304498269896,0.600609756097561,2.0912016112378478,0.0054069635454771165,1,5745,1049,62598,42597
200,6,6168,1,6168,0.4290657439446367,0.6475195822454308,1.567231205888693,0.00488674392757191,1,8347,2179,62598,42597
200,6,6611,1,6611,0.44809688581314877,0.6624040920716112,1.5350778677717778,0.004597471305816131,1,9233,2622,62598,42597
200,6,10000,1,10000,0.5778546712802768,0.7608200455580866,1.0976965763716495,0.002332416625250298,0,17298,7298,62598,42597
200,6,15000,1,15000,0.7318339100346021,0.8545454545454545,0.6599010624560344,0.0008629245314679689,0,33873,18873,62598,42597
