pair,hv_fixed,hv_cc_static,hv_cc_dnr,hv_full,geometry_effect,rotation_effect,total_effect
DPAM1_mix,0.9042651858,0.802749592,0.8349422343,0.9483042001,-0.101516,0.0321926,-0.069323
FES1_mix,7.89750793,9.211718306,9.25251192,9.145893766,1.31421,0.0407936,1.355
QV1_mix,0.4305535033,0.4711070157,0.5220987572,0.4432501615,0.0405535,0.0509917,0.0915453
DTLZ2_mix,4.823338741,4.834779292,4.834779292,4.12568864,0.0114406,0,0.0114406
ZDT3_mix,3.348195592,3.355076627,3.356499888,1.773535129,0.00688103,0.00142326,0.0083043
ZDT1_mix,3.900382756,3.88378092,3.882730119,1.641108467,-0.0166018,-0.0010508,-0.0176526
