variant,N_eval,recall,igd,hv_gap
full,3900,0.539792,1.3384416,0.04916787
fixed,4000,0.882353,0.23310162,0.0088808514
cc_dnr,4000,0.702422,0.607341,0.01151947
full,4000,0.557093,1.2946336,0.049149387
fixed,4100,0.894464,0.21034716,0.0067921843
cc_dnr,4100,0.738754,0.50464045,0.009068227
full,4100,0.572664,1.2446203,0.049092301
fixed,4200,0.915225,0.17826411,0.0066723092
cc_dnr,4200,0.768166,0.44356674,0.0076519501
full,4200,0.586505,1.208591,0.048070951
fixed,4300,0.925606,0.15389969,0.0044716157
cc_dnr,4300,0.782007,0.41576167,0.0076088346
full,4300,0.602076,1.1687522,0.047896215
fixed,4400,0.944637,0.10630814,0.0017765012
cc_dnr,4400,0.795848,0.37587307,0.0072252781
full,4400,0.608997,1.1491517,0.04785784
fixed,4500,0.955017,0.08746016,0.00041453358
cc_dnr,4500,0.820069,0.31846204,0.0071995422
full,4500,0.628028,1.1070851,0.047084609
fixed,4600,0.967128,0.07491665,8.9477519e-06
cc_dnr,4600,0.833910,0.29604721,0.0067786299
full,4600,0.641869,1.055627,0.046902003
fixed,4696,0.970588,0.069009574,2.5121224e-06
cc_dnr,4696,0.840830,0.28596121,0.0067659969
full,4696,0.648789,1.0341461,0.046840489
cc_dnr,4700,0.840830,0.28596121,0.0067659969
full,4700,0.648789,1.0341461,0.046840489
cc_dnr,4800,0.846021,0.27933709,0.0067516159
full,4800,0.674740,0.94158863,0.044040325
cc_dnr,4900,0.858131,0.26019409,0.0067473283
full,4900,0.716263,0.63243401,0.026072374
cc_dnr,5000,0.866782,0.24521672,0.0067254034
full,5000,0.740484,0.51743908,0.023722228
cc_dnr,5100,0.873702,0.23544114,0.0067206374
full,5100,0.768166,0.47696938,0.022016139
cc_dnr,5200,0.894464,0.18706616,0.0048490534
full,5200,0.795848,0.40476143,0.020128228
cc_dnr,5300,0.904844,0.16196701,0.0048397613
full,5300,0.813149,0.35924443,0.013338605
cc_dnr,5400,0.910035,0.15331625,0.0048253182
full,5400,0.832180,0.30928714,0.011127962
cc_dnr,5500,0.920415,0.13875512,0.0048102814
full,5500,0.851211,0.25759187,0.0098003796
cc_dnr,5600,0.937716,0.11166611,0.0048002974
full,5600,0.858131,0.23831525,0.0093518609
cc_dnr,5700,0.951557,0.0934818,0.004529983
full,5700,0.878893,0.20906783,0.0092617253
cc_dnr,5800,0.967128,0.067694914,0.0041630156
full,5800,0.887543,0.19796987,0.0092555976
cc_dnr,5900,0.972318,0.052278174,0.0023304975
full,5900,0.901384,0.15482094,0.0089913969
cc_dnr,6000,0.987889,0.019552711,0.00033778983
full,6000,0.913495,0.1427071,0.0089815784
cc_dnr,6100,0.994810,0.011197475,1.9079891e-06
full,6100,0.934256,0.092363966,0.0025652282
cc_dnr,6168,0.994810,0.011197475,1.9079891e-06
full,6168,0.994810,0.011197475,1.9079891e-06
full,6200,0.937716,0.086457275,0.0025505349
full,6300,0.953287,0.070420278,0.0019037141
full,6400,0.968858,0.042709498,0.0018567178
full,6500,0.989619,0.014663752,6.2160101e-06
full,6600,0.994810,0.011197475,1.9079891e-06
full,6611,0.994810,0.011197475,1.9079891e-06
